fecha,turno,loteria,posicion,numero,sorteo_nro
2025-08-05,Nocturna,Provincia,8,8767,12525
2025-08-05,Nocturna,Provincia,9,2933,12525
2025-08-05,Nocturna,Provincia,10,4687,12525
2025-08-05,Nocturna,Provincia,11,2885,12525
2025-08-05,Nocturna,Provincia,12,9681,12525
2025-08-05,Nocturna,Provincia,13,4420,12525
2025-08-05,Nocturna,Provincia,14,8803,12525
2025-08-05,Nocturna,Provincia,15,4394,12525
2025-08-05,Nocturna,Provincia,16,1039,12525
2025-08-05,Nocturna,Provincia,17,2398,12525
2025-08-05,Nocturna,Provincia,18,1579,12525
2025-08-05,Nocturna,Provincia,19,5260,12525
2025-08-05,Nocturna,Provincia,20,7861,12525
2025-08-06,Nocturna,Provincia,1,5102,12526
2025-08-06,Nocturna,Provincia,2,4650,12526
2025-08-06,Nocturna,Provincia,3,1340,12526
2025-08-06,Nocturna,Provincia,4,6855,12526
2025-08-06,Nocturna,Provincia,5,0445,12526
2025-08-06,Nocturna,Provincia,6,3380,12526
2025-08-06,Nocturna,Provincia,7,3514,12526
2025-08-06,Nocturna,Provincia,8,1314,12526
2025-08-06,Nocturna,Provincia,9,0357,12526
2025-08-06,Nocturna,Provincia,10,9623,12526
2025-08-06,Nocturna,Provincia,11,2705,12526
2025-08-06,Nocturna,Provincia,12,8084,12526
2025-08-06,Nocturna,Provincia,13,4754,12526
2025-08-06,Nocturna,Provincia,14,2941,12526
2025-08-06,Nocturna,Provincia,15,6333,12526
2025-08-06,Nocturna,Provincia,16,1444,12526
2025-08-06,Nocturna,Provincia,17,3603,12526
2025-08-06,Nocturna,Provincia,18,2382,12526
2025-08-06,Nocturna,Provincia,19,6703,12526
2025-08-06,Nocturna,Provincia,20,3357,12526
2025-08-07,Nocturna,Provincia,1,5135,12527
2025-08-07,Nocturna,Provincia,2,5147,12527
2025-08-07,Nocturna,Provincia,3,5648,12527
2025-08-07,Nocturna,Provincia,4,8802,12527
2025-08-07,Nocturna,Provincia,5,3591,12527
2025-08-07,Nocturna,Provincia,6,0067,12527
2025-08-07,Nocturna,Provincia,7,8405,12527
2025-08-07,Nocturna,Provincia,8,8770,12527
2025-08-07,Nocturna,Provincia,9,7229,12527
2025-08-07,Nocturna,Provincia,10,4672,12527
2025-08-07,Nocturna,Provincia,11,2269,12527
2025-08-07,Nocturna,Provincia,12,3509,12527
